Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  1.205894e-01   1.320150e+00   4.186850e-02
  1.210587e-01   1.131600e+00   4.192080e-02
  1.215281e-01   1.085720e+00   4.184580e-02
  1.219974e-01   1.149890e+00   4.267590e-02
  1.224667e-01   1.170800e+00   4.425560e-02
  1.229361e-01   1.157770e+00   4.353410e-02
  1.234054e-01   1.086030e+00   4.305360e-02
  1.238747e-01   1.100310e+00   4.452070e-02
  1.243441e-01   1.005460e+00   4.485000e-02
  1.248134e-01   1.142810e+00   4.553800e-02
  1.252827e-01   1.068950e+00   4.416610e-02
  1.257521e-01   1.075690e+00   4.580040e-02
  1.262214e-01   1.043420e+00   4.601280e-02
  1.266907e-01   1.003890e+00   4.458600e-02
  1.271601e-01   1.033640e+00   4.264460e-02
  1.276294e-01   1.001420e+00   4.129720e-02
  1.280987e-01   1.032610e+00   4.172140e-02
  1.285681e-01   9.818750e-01   4.173900e-02
  1.290374e-01   9.022640e-01   4.098360e-02
  1.295067e-01   1.016200e+00   3.911490e-02
  1.299760e-01   1.004830e+00   4.017560e-02
  1.304454e-01   9.648500e-01   3.957350e-02
  1.309147e-01   1.015690e+00   3.978960e-02
  1.313840e-01   9.468330e-01   3.864120e-02
  1.318534e-01   9.139380e-01   3.920770e-02
  1.323227e-01   8.663360e-01   3.855060e-02
  1.327920e-01   8.729110e-01   3.936740e-02
  1.332614e-01   8.291030e-01   3.839190e-02
  1.337307e-01   8.663060e-01   3.825770e-02
  1.342000e-01   8.447660e-01   3.852490e-02
  1.346694e-01   8.250460e-01   3.871300e-02
  1.351387e-01   8.203560e-01   3.843050e-02
  1.356080e-01   7.445950e-01   3.767280e-02
  1.360774e-01   8.192420e-01   3.826630e-02
  1.365467e-01   6.645350e-01   3.838300e-02
  1.370160e-01   8.048190e-01   3.877200e-02
  1.374854e-01   7.627690e-01   3.760830e-02
  1.379547e-01   7.363850e-01   3.768010e-02
  1.384240e-01   7.494370e-01   3.765170e-02
  1.388934e-01   7.392230e-01   3.820360e-02
  1.393627e-01   7.564090e-01   3.731090e-02
  1.398320e-01   6.738130e-01   3.766920e-02
  1.403014e-01   7.001550e-01   3.753420e-02
  1.407707e-01   7.662880e-01   3.764220e-02
  1.412400e-01   6.670310e-01   3.724670e-02
  1.417094e-01   6.520980e-01   3.656990e-02
  1.421787e-01   6.363520e-01   3.777780e-02
  1.426480e-01   6.537230e-01   3.754930e-02
  1.431174e-01   6.964310e-01   3.712100e-02
  1.435867e-01   5.929140e-01   3.636750e-02
  1.440560e-01   6.225400e-01   3.689430e-02
  1.445254e-01   6.383450e-01   3.712440e-02
  1.449947e-01   5.593570e-01   3.727750e-02
  1.454640e-01   6.620810e-01   3.584560e-02
  1.459334e-01   6.032320e-01   3.641200e-02
  1.464027e-01   6.091880e-01   3.721440e-02
  1.468720e-01   5.539980e-01   3.695840e-02
  1.473414e-01   5.710880e-01   3.602540e-02
  1.478107e-01   4.862220e-01   3.602270e-02
  1.482800e-01   5.048460e-01   3.689320e-02
  1.487494e-01   5.284810e-01   3.667320e-02
  1.492187e-01   4.643300e-01   3.575080e-02
  1.496880e-01   5.380490e-01   3.714980e-02
  1.501574e-01   5.152900e-01   3.803200e-02
  1.506267e-01   4.080680e-01   3.906040e-02
  1.510960e-01   5.504450e-01   3.874670e-02
  1.515654e-01   4.624170e-01   3.911510e-02
  1.520347e-01   4.967490e-01   4.019370e-02
  1.525040e-01   5.181550e-01   3.963540e-02
  1.529733e-01   5.109690e-01   3.821760e-02
  1.534427e-01   4.436750e-01   3.790210e-02
  1.539120e-01   4.350480e-01   3.722340e-02
  1.543813e-01   3.737560e-01   3.752430e-02
  1.548507e-01   5.096880e-01   3.704640e-02
  1.553200e-01   4.967020e-01   3.601150e-02
  1.557893e-01   4.587080e-01   3.608670e-02
  1.562587e-01   4.756020e-01   3.642780e-02
  1.567280e-01   3.704040e-01   3.607070e-02
  1.571973e-01   3.715140e-01   3.492490e-02
  1.576667e-01   4.555150e-01   3.539300e-02
  1.581360e-01   3.635720e-01   3.582460e-02
  1.586053e-01   4.842640e-01   3.680210e-02
  1.590747e-01   3.987300e-01   3.498700e-02
  1.595440e-01   4.216000e-01   3.550480e-02
  1.600133e-01   4.243030e-01   3.601720e-02
  1.604827e-01   4.245890e-01   3.569770e-02
  1.609520e-01   2.943010e-01   3.589270e-02
  1.614213e-01   3.816720e-01   3.514610e-02
  1.618907e-01   2.807250e-01   3.535020e-02
  1.623600e-01   3.288040e-01   3.538590e-02
  1.628293e-01   4.125900e-01   3.574040e-02
  1.632987e-01   3.553100e-01   3.412520e-02
  1.637680e-01   3.540330e-01   3.528360e-02
  1.642373e-01   2.980180e-01   3.501480e-02
  1.647067e-01   3.567560e-01   3.561740e-02
  1.651760e-01   3.406300e-01   3.404550e-02
  1.656453e-01   3.524510e-01   3.514460e-02
  1.661147e-01   3.425560e-01   3.502400e-02
  1.665840e-01   3.075190e-01   3.523160e-02
  1.670533e-01   3.288570e-01   3.433830e-02
  1.675227e-01   2.734580e-01   3.431420e-02
  1.679920e-01   3.210950e-01   3.457450e-02
  1.684613e-01   3.203570e-01   3.483040e-02
  1.689307e-01   2.977950e-01   3.455610e-02
  1.694000e-01   2.764030e-01   3.401140e-02
  1.698693e-01   3.096020e-01   3.432910e-02
  1.703387e-01   3.084390e-01   3.449550e-02
  1.708080e-01   3.113610e-01   3.430630e-02
  1.712773e-01   2.287150e-01   3.365290e-02
  1.717467e-01   1.390800e-01   3.435590e-02
  1.722160e-01   3.151380e-01   3.409080e-02
  1.726853e-01   3.210750e-01   3.475560e-02
  1.731547e-01   3.246560e-01   3.355160e-02
  1.736240e-01   2.972460e-01   3.429780e-02
  1.740933e-01   3.440770e-01   3.414930e-02
  1.745626e-01   2.027540e-01   3.424960e-02
  1.750320e-01   2.384980e-01   3.346420e-02
  1.755013e-01   3.025250e-01   3.343890e-02
  1.759706e-01   2.495600e-01   3.408430e-02
  1.764400e-01   2.482500e-01   3.374420e-02
  1.769093e-01   2.593020e-01   3.347200e-02
  1.773786e-01   2.740460e-01   3.331760e-02
  1.778480e-01   2.577050e-01   3.369340e-02
  1.783173e-01   2.473500e-01   3.366750e-02
  1.787866e-01   2.213400e-01   3.374280e-02
  1.792560e-01   2.948470e-01   3.307630e-02
  1.797253e-01   2.367960e-01   3.355710e-02
  1.801946e-01   1.466780e-01   3.321800e-02
  1.806640e-01   1.990480e-01   3.384710e-02
  1.811333e-01   2.666400e-01   3.290000e-02
  1.816026e-01   2.725380e-01   3.333650e-02
  1.820720e-01   2.371700e-01   3.345520e-02
  1.825413e-01   2.410740e-01   3.362500e-02
  1.830106e-01   1.640180e-01   3.247400e-02
  1.834800e-01   1.851380e-01   3.286770e-02
  1.839493e-01   2.164070e-01   3.352580e-02
  1.844186e-01   2.291220e-01   3.351990e-02
  1.848880e-01   1.801210e-01   3.251440e-02
  1.853573e-01   2.871540e-01   3.267270e-02
  1.858266e-01   2.441690e-01   3.299680e-02
  1.862960e-01   2.144820e-01   3.300530e-02
  1.867653e-01   1.577220e-01   3.244300e-02
  1.872346e-01   1.781430e-01   3.277540e-02
  1.877040e-01   1.744520e-01   3.276740e-02
  1.881733e-01   2.097790e-01   3.338160e-02
  1.886426e-01   1.726590e-01   3.304840e-02
  1.891120e-01   1.858660e-01   3.236230e-02
  1.895813e-01   2.088500e-01   3.233630e-02
  1.900506e-01   1.917770e-01   3.333980e-02
  1.905200e-01   1.729810e-01   3.272960e-02
  1.909893e-01   2.084080e-01   3.174990e-02
  1.914586e-01   1.912500e-01   3.328260e-02
  1.919280e-01   2.360440e-01   3.241160e-02
  1.923973e-01   2.104890e-01   3.269230e-02
  1.928666e-01   1.854960e-01   3.190160e-02
  1.933360e-01   1.782190e-01   3.195850e-02
  1.938053e-01   1.888050e-01   3.203550e-02
  1.942746e-01   2.244440e-01   3.234790e-02
  1.947440e-01   1.556920e-01   3.170090e-02
  1.952133e-01   2.887840e-01   3.170040e-02
  1.956826e-01   2.034670e-01   3.196760e-02
  1.961520e-01   2.211320e-01   3.211420e-02
  1.966213e-01   1.673290e-01   3.169450e-02
  1.970906e-01   2.028780e-01   3.160560e-02
  1.975599e-01   1.980520e-01   3.217650e-02
  1.980293e-01   2.248920e-01   3.195110e-02
  1.984986e-01   1.402500e-01   3.202980e-02
  1.989679e-01   1.879230e-01   3.130090e-02
  1.994373e-01   1.135430e-01   3.230480e-02
  1.999066e-01   2.390470e-01   3.159410e-02
  2.003759e-01   1.893930e-01   3.208050e-02
  2.008453e-01   2.059770e-01   3.266600e-02
  2.013146e-01   2.296460e-01   3.390870e-02
  2.017839e-01   7.761300e-02   3.382280e-02
  2.022533e-01   9.899700e-02   3.476590e-02
  2.027226e-01   1.463760e-01   3.442760e-02
  2.031919e-01   1.699690e-01   3.493170e-02
  2.036613e-01   1.514040e-01   3.479780e-02
  2.041306e-01   1.203990e-01   3.499160e-02
  2.045999e-01   1.824610e-01   3.520120e-02
  2.050693e-01   1.523960e-01   3.525810e-02
  2.055386e-01   2.404150e-01   3.530820e-02
  2.060079e-01   2.104230e-01   3.643970e-02
  2.064773e-01   1.848660e-01   3.600640e-02
  2.069466e-01   1.494170e-01   3.602770e-02
  2.074159e-01   1.653140e-01   3.426320e-02
  2.078853e-01   1.963950e-01   3.381390e-02
  2.083546e-01   2.748210e-01   3.354500e-02
  2.088239e-01   1.006190e-01   3.239250e-02
  2.092933e-01   1.548670e-01   3.248980e-02
  2.097626e-01   1.664310e-01   3.226900e-02
  2.102319e-01   2.116550e-01   3.263370e-02
  2.107013e-01   2.168490e-01   3.162110e-02
  2.111706e-01   2.115080e-01   3.188660e-02
  2.116399e-01   1.935840e-01   3.216720e-02
  2.121093e-01   2.182380e-01   3.191140e-02
  2.125786e-01   1.555330e-01   3.147760e-02
  2.130479e-01   1.592280e-01   3.194430e-02
  2.135173e-01   1.731110e-01   3.171090e-02
  2.139866e-01   1.594230e-01   3.168180e-02
  2.144559e-01   1.481970e-01   3.150780e-02
  2.149253e-01   7.740030e-02   3.139870e-02
  2.153946e-01   1.754950e-01   3.162920e-02
  2.158639e-01   2.187260e-01   3.143650e-02
  2.163333e-01   1.561220e-01   3.142070e-02
  2.168026e-01   2.435440e-01   3.135040e-02
  2.172719e-01   1.683700e-01   3.132480e-02
  2.177413e-01   1.622950e-01   3.112270e-02
  2.182106e-01   8.789650e-02   3.145640e-02
  2.186799e-01   1.108450e-01   3.058840e-02
  2.191493e-01   2.501170e-01   3.114440e-02
  2.196186e-01   2.111680e-01   3.140210e-02
  2.200879e-01   9.496820e-02   3.137810e-02
  2.205572e-01   1.258090e-01   3.043350e-02
  2.210266e-01   1.087860e-01   3.078560e-02
  2.214959e-01   1.599010e-01   3.095760e-02
  2.219652e-01   2.014310e-01   3.100190e-02
  2.224346e-01   1.594670e-01   3.039590e-02
  2.229039e-01   2.332110e-01   3.076110e-02
  2.233732e-01   5.835120e-02   3.079400e-02
  2.238426e-01   2.291220e-01   3.076460e-02
  2.243119e-01   1.819650e-01   3.039880e-02
  2.247812e-01   1.359210e-01   3.066570e-02
  2.252506e-01   1.387210e-01   3.079940e-02
  2.257199e-01   1.528530e-01   3.082100e-02
  2.261892e-01   1.754870e-01   3.068880e-02
  2.266586e-01   8.219110e-02   2.993760e-02
  2.271279e-01   1.184790e-01   3.046510e-02
  2.275972e-01   1.830480e-01   3.055780e-02
  2.280666e-01   1.300890e-01   3.052870e-02
  2.285359e-01   1.388950e-01   2.989270e-02
  2.290052e-01   1.613340e-01   3.023980e-02
  2.294746e-01   9.163700e-02   3.030120e-02
  2.299439e-01   1.379030e-01   3.048630e-02
  2.304132e-01   1.060160e-01   2.966290e-02
  2.308826e-01   6.689760e-02   3.005530e-02
  2.313519e-01   1.334740e-01   3.016260e-02
  2.318212e-01   1.832370e-01   3.018940e-02
  2.322906e-01   1.568120e-01   2.960890e-02
  2.327599e-01   1.480380e-01   2.995370e-02
  2.332292e-01   7.915770e-02   3.017630e-02
  2.336986e-01   1.185780e-01   3.001680e-02
  2.341679e-01   1.245920e-01   2.973440e-02
  2.346372e-01   1.432160e-01   2.971090e-02
  2.351066e-01   1.005800e-01   3.012240e-02
  2.355759e-01   1.573730e-01   3.004980e-02
  2.360452e-01   1.138300e-01   3.029310e-02
  2.365146e-01   1.004060e-01   2.932230e-02
  2.369839e-01   1.270490e-01   2.999770e-02
  2.374532e-01   1.537230e-01   2.976550e-02
  2.379226e-01   1.377580e-01   2.962580e-02
  2.383919e-01   1.682940e-01   2.924960e-02
  2.388612e-01   1.385850e-01   2.962620e-02
  2.393306e-01   1.082610e-01   2.950770e-02
  2.397999e-01   1.422260e-01   2.966840e-02
  2.402692e-01   1.638220e-01   2.909560e-02
  2.407386e-01   8.550240e-02   2.946680e-02
  2.412079e-01   8.580340e-02   2.939390e-02
  2.416772e-01   1.257580e-01   2.954820e-02
  2.421466e-01   1.087180e-01   2.913660e-02
  2.426159e-01   9.562480e-02   2.939390e-02
  2.430852e-01   6.055230e-02   2.947270e-02
  2.435545e-01   1.872170e-01   2.940300e-02
  2.440239e-01   9.446910e-02   2.918070e-02
  2.444932e-01   1.484970e-01   2.909380e-02
  2.449625e-01   7.773450e-02   2.925950e-02
  2.454319e-01   9.186520e-02   2.920630e-02
  2.459012e-01   6.695300e-02   2.925670e-02
  2.463705e-01   1.032640e-01   2.859630e-02
  2.468399e-01   5.827570e-02   2.892880e-02
  2.473092e-01   1.097100e-01   2.916980e-02
  2.477785e-01   5.558180e-02   2.935320e-02
  2.482479e-01   8.014720e-02   2.851830e-02
  2.487172e-01   1.130700e-01   2.892010e-02
