Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 2.254668e-001  7.195803e-004  6.280742e-004
 2.261631e-001  9.890227e-004  6.338277e-004
 2.268593e-001  1.118547e-003  6.361698e-004
 2.275555e-001  6.244108e-004  6.344242e-004
 2.282517e-001  4.502681e-004  6.319176e-004
 2.289480e-001  2.997071e-004  6.331402e-004
 2.296442e-001  1.287068e-003  6.271128e-004
 2.303404e-001  1.092005e-003  6.347585e-004
 2.310366e-001  7.473824e-004  6.298785e-004
 2.317327e-001  8.489989e-004  6.330723e-004
 2.324289e-001  7.827182e-004  6.276592e-004
 2.331251e-001  2.903785e-004  6.269095e-004
 2.338213e-001  6.772465e-004  6.352396e-004
 2.345174e-001  9.276005e-004  6.402128e-004
 2.352136e-001  1.012296e-003  6.492421e-004
 2.359097e-001  4.650848e-004  6.474796e-004
 2.366058e-001  1.407816e-003  6.472654e-004
 2.373020e-001  1.150467e-003  6.489355e-004
 2.379981e-001  5.583864e-004  6.509362e-004
 2.386942e-001  1.175474e-004  6.482547e-004
 2.393903e-001  7.601588e-004  6.528838e-004
 2.400864e-001  1.136221e-003  6.550240e-004
 2.407825e-001  7.087857e-004  6.546181e-004
 2.414786e-001  1.260077e-003  6.604152e-004
 2.421747e-001  6.216484e-004  6.590217e-004
 2.428708e-001  6.890590e-004  6.574844e-004
 2.435668e-001  1.108556e-003  6.633217e-004
 2.442629e-001  1.228240e-003  6.635668e-004
 2.449589e-001  5.439768e-004  6.629696e-004
 2.456550e-001  6.688432e-004  6.639734e-004
 2.463510e-001  7.665261e-004  6.659814e-004
 2.470470e-001  1.171130e-003  6.691094e-004
 2.477431e-001  3.620002e-004  6.693085e-004
 2.484391e-001  4.837248e-004  6.676396e-004
 2.491351e-001  8.787701e-004  6.655682e-004
 2.498311e-001  6.452264e-004  6.706913e-004
 2.505271e-001  9.799848e-004  6.693857e-004
 2.512231e-001  5.512359e-004  6.753127e-004
 2.519190e-001  2.084301e-004  6.717447e-004
 2.526150e-001  4.787467e-004  6.739596e-004
 2.533110e-001  6.184600e-004  6.742509e-004
 2.540069e-001  4.163141e-004  6.765999e-004
 2.547029e-001  9.572601e-004  6.762447e-004
 2.553988e-001  7.005971e-004  6.797678e-004
 2.560948e-001  9.662883e-004  6.741340e-004
 2.567907e-001  5.873552e-004  6.743172e-004
 2.574866e-001  2.655441e-004  6.865982e-004
 2.581825e-001  7.810371e-005  6.930648e-004
 2.588784e-001 -2.093435e-004  6.969035e-004
 2.595743e-001  1.364469e-004  6.961100e-004
 2.602702e-001  1.289856e-003  7.024410e-004
 2.609661e-001  2.180797e-004  7.068237e-004
 2.616620e-001  2.378873e-004  7.148221e-004
 2.623578e-001  7.042063e-004  7.166341e-004
 2.630537e-001  6.543994e-004  7.249204e-004
 2.637495e-001  1.041431e-005  7.195021e-004
 2.644454e-001  8.907420e-004  7.098959e-004
 2.651412e-001  9.130892e-004  7.044073e-004
 2.658370e-001  4.190848e-004  7.047688e-004
 2.665328e-001  1.299984e-003  7.004863e-004
 2.672287e-001  7.369864e-004  7.011767e-004
 2.679245e-001  2.640676e-004  7.008553e-004
 2.686203e-001  4.012305e-004  7.011876e-004
 2.693160e-001  8.944809e-004  6.961960e-004
 2.700118e-001  5.484246e-004  7.009488e-004
 2.707076e-001  3.004799e-004  6.995441e-004
 2.714034e-001  4.628265e-004  7.035155e-004
 2.720991e-001  2.304806e-004  6.992022e-004
 2.727949e-001  2.054232e-004  6.967162e-004
 2.734906e-001 -1.522963e-005  7.000514e-004
 2.741863e-001  1.228450e-004  7.001266e-004
 2.748820e-001  8.539604e-004  7.034506e-004
 2.755778e-001  7.200182e-004  6.991349e-004
 2.762735e-001  3.954456e-005  7.047170e-004
 2.769692e-001  2.501427e-004  6.979226e-004
 2.776649e-001  3.010761e-004  7.036131e-004
 2.783605e-001  6.625405e-004  7.015580e-004
 2.790562e-001  8.784536e-004  6.982289e-004
 2.797519e-001  3.259110e-004  6.996156e-004
 2.804475e-001  5.205836e-004  7.004058e-004
 2.811432e-001  6.753364e-004  7.113866e-004
 2.818388e-001  9.971111e-005  7.215834e-004
 2.825345e-001  2.207338e-004  7.274203e-004
 2.832301e-001  7.120077e-004  7.313325e-004
 2.839257e-001  4.734251e-004  7.331503e-004
 2.846213e-001  3.473940e-004  7.323062e-004
 2.853169e-001  1.325030e-004  7.348412e-004
 2.860125e-001  7.091208e-004  7.473955e-004
 2.867081e-001  8.342822e-004  7.469361e-004
 2.874037e-001 -3.089391e-004  7.491671e-004
 2.880992e-001  1.562398e-004  7.614050e-004
 2.887948e-001  9.803100e-004  7.602811e-004
 2.894903e-001  3.803569e-004  7.619588e-004
 2.901859e-001  8.205449e-004  7.628551e-004
 2.908814e-001  5.899637e-004  7.689114e-004
 2.915769e-001  8.995092e-004  7.773014e-004
 2.922724e-001 -8.575825e-005  7.768069e-004
 2.929679e-001  5.283313e-004  7.805931e-004
 2.936634e-001  1.328124e-004  7.799146e-004
 2.943589e-001  1.201564e-003  7.813081e-004
 2.950544e-001  7.075793e-004  7.867598e-004
 2.957499e-001  5.116698e-004  7.935774e-004
 2.964453e-001  4.101450e-004  7.937751e-004
 2.971408e-001  3.823143e-004  7.862716e-004
 2.978362e-001  4.495369e-004  7.860087e-004
 2.985317e-001  6.804207e-004  7.938011e-004
 2.992271e-001  8.387566e-004  7.928475e-004
 2.999225e-001  3.350905e-004  8.040018e-004
 3.006179e-001  2.552589e-004  7.941741e-004
 3.013133e-001  3.450503e-004  7.968478e-004
 3.020087e-001  3.345046e-004  7.937440e-004
 3.027041e-001  1.092136e-004  7.978672e-004
 3.033995e-001  6.454316e-004  7.944965e-004
 3.040948e-001  2.344180e-004  8.013030e-004
 3.047902e-001  2.997072e-004  7.983527e-004
 3.054855e-001  7.259954e-004  8.010891e-004
 3.061809e-001 -2.887812e-004  7.998385e-004
 3.068762e-001  8.140294e-004  8.077035e-004
 3.075715e-001 -2.047694e-004  8.093167e-004
 3.082668e-001  8.486030e-004  8.171991e-004
 3.089621e-001 -1.522003e-004  8.102730e-004
 3.096574e-001  5.302171e-004  8.103110e-004
 3.103527e-001  4.326982e-004  8.114943e-004
 3.110480e-001  8.852298e-004  8.143666e-004
 3.117433e-001  6.282413e-004  8.171806e-004
 3.124385e-001  7.328845e-004  8.248297e-004
 3.131337e-001  2.788723e-004  8.205011e-004
 3.138290e-001  3.753183e-004  8.199245e-004
 3.145242e-001 -1.922961e-004  8.262921e-004
 3.152194e-001  5.086319e-004  8.211836e-004
 3.159147e-001  6.494900e-004  8.279868e-004
 3.166099e-001  6.420892e-004  8.322279e-004
 3.173050e-001 -4.033362e-005  8.316136e-004
 3.180002e-001  9.033479e-004  8.295953e-004
 3.186954e-001  3.759221e-004  8.336485e-004
 3.193906e-001  1.107657e-003  8.358045e-004
 3.200857e-001  2.806644e-004  8.399290e-004
 3.207809e-001  3.742387e-004  8.381399e-004
 3.214760e-001  1.623678e-003  8.444893e-004
 3.221711e-001  5.689276e-004  8.406215e-004
 3.228662e-001  8.410714e-004  8.398748e-004
 3.235613e-001  7.945443e-004  8.488858e-004
 3.242564e-001  9.984742e-004  8.433483e-004
 3.249515e-001  4.927721e-004  8.498882e-004
 3.256466e-001 -8.889083e-005  8.549552e-004
 3.263417e-001  9.472229e-004  8.492875e-004
 3.270367e-001  1.048285e-003  8.526052e-004
 3.277318e-001 -3.334880e-004  8.563082e-004
 3.284268e-001  1.029533e-004  8.554704e-004
 3.291218e-001  2.218252e-004  8.611123e-004
 3.298169e-001  5.455485e-004  8.601993e-004
 3.305119e-001  1.104573e-003  8.562710e-004
 3.312069e-001  4.571858e-004  8.805762e-004
 3.319019e-001  4.612149e-004  9.086479e-004
 3.325968e-001  4.201595e-004  9.168910e-004
 3.332918e-001  8.265634e-004  9.339399e-004
 3.339868e-001  1.511887e-003  9.500602e-004
 3.346817e-001  1.576828e-004  9.564807e-004
 3.353767e-001  1.702560e-004  9.654257e-004
 3.360716e-001  6.612616e-004  9.778281e-004
 3.367665e-001  1.738483e-003  9.847967e-004
 3.374614e-001  1.260252e-003  9.885626e-004
 3.381563e-001 -4.073518e-004  9.557430e-004
 3.388512e-001  5.448804e-004  9.376018e-004
 3.395461e-001 -2.593999e-005  9.372460e-004
 3.402410e-001  4.065823e-004  9.247666e-004
 3.409358e-001  7.301488e-004  9.283132e-004
 3.416307e-001  8.572873e-004  9.236409e-004
 3.423255e-001  5.476121e-004  9.210737e-004
 3.430204e-001  6.883145e-004  9.140036e-004
 3.437152e-001  6.499447e-004  9.197353e-004
 3.444100e-001  2.484378e-004  9.148388e-004
 3.451048e-001  8.279950e-004  9.169267e-004
 3.457996e-001  3.959754e-004  9.150459e-004
