# Diamond Light Source Ltd.
# Non Crystalline Diffraction Results Export File
# Data extracted from file: /dls/b21/data/2014/sm9384-1/processing/results_b21-7734_detector_070314_132234.nxs
# Dataset name: /entry1/detector_processing/Average/data
# Title: Sample: HSP18.1 (Location   I A  2)
# Scan command: static readout
# q(1/A)      	Column      	Error       	
0.10115877  	4.0144985e-11	3.6552594e-13
0.10143357  	3.9724331e-11	3.6424875e-13
0.10170837  	3.9094322e-11	3.6243862e-13
0.10198317  	3.9997027e-11	3.6371031e-13
0.10225796  	4.0590750e-11	3.6317227e-13
0.10253276  	4.0844921e-11	3.6270002e-13
0.10280756  	4.1391134e-11	3.6335629e-13
0.10308236  	4.2023732e-11	3.6351385e-13
0.10335716  	4.1749010e-11	3.6453371e-13
0.10363196  	4.0653984e-11	3.7000427e-13
0.10390676  	4.1389545e-11	3.7772774e-13
0.10418156  	4.1664318e-11	3.8170218e-13
0.10445636  	4.1785665e-11	3.8602503e-13
0.10473116  	4.2029935e-11	3.9077549e-13
0.10500596  	4.2258825e-11	3.9335795e-13
0.10528075  	4.2594012e-11	3.9564313e-13
0.10555555  	4.2953419e-11	3.9960908e-13
0.10583035  	4.2632422e-11	4.0118947e-13
0.10610515  	4.2760535e-11	4.0442858e-13
0.10637995  	4.3573166e-11	4.0666757e-13
0.10665475  	4.3082080e-11	4.0781194e-13
0.10692955  	4.2348951e-11	4.1038123e-13
0.10720435  	4.2908808e-11	4.1219998e-13
0.10747915  	4.2148989e-11	4.1306048e-13
0.10775395  	4.3076948e-11	4.1467868e-13
0.10802874  	4.4069463e-11	4.1851814e-13
0.10830354  	4.4196632e-11	4.1052104e-13
0.10857834  	4.4113053e-11	4.0138156e-13
0.10885314  	4.3317572e-11	3.9474199e-13
0.10912794  	4.3679959e-11	3.9092612e-13
0.10940274  	4.4675277e-11	3.9030536e-13
0.10967754  	4.4165387e-11	3.8676920e-13
0.10995234  	4.4123018e-11	3.8465409e-13
0.11022714  	4.3511930e-11	3.8087014e-13
0.11050194  	4.4976540e-11	3.8166909e-13
0.11077674  	4.2894317e-11	3.7692264e-13
0.11105153  	4.3775372e-11	3.7681314e-13
0.11132633  	4.3214217e-11	3.7542983e-13
0.11160113  	4.3851721e-11	3.7394249e-13
0.11187593  	4.4053483e-11	3.7268463e-13
0.11215073  	4.3084258e-11	3.7060955e-13
0.11242553  	4.3022346e-11	3.6948843e-13
0.11270033  	4.3240654e-11	3.6865072e-13
0.11297513  	4.2942455e-11	3.6734306e-13
0.11324993  	4.3003462e-11	3.6587457e-13
0.11352473  	4.3384674e-11	3.6595298e-13
0.11379952  	4.2372994e-11	3.6308264e-13
0.11407432  	4.2862741e-11	3.6312869e-13
0.11434912  	4.3800522e-11	3.6426927e-13
0.11462392  	4.2668782e-11	3.6121160e-13
0.11489872  	4.2088381e-11	3.6008018e-13
0.11517352  	4.2776123e-11	3.5944986e-13
0.11544832  	4.2437574e-11	3.5800751e-13
0.11572312  	4.1870230e-11	3.5729503e-13
0.11599792  	4.2459685e-11	3.5757858e-13
0.11627272  	4.1928381e-11	3.5477207e-13
0.11654752  	4.1723451e-11	3.5390329e-13
0.11682231  	4.0935852e-11	3.5322683e-13
0.11709711  	4.2607848e-11	3.5456203e-13
0.11737191  	4.1465057e-11	3.5184483e-13
0.11764671  	4.0891603e-11	3.5011767e-13
0.11792151  	4.1515857e-11	3.5077700e-13
0.11819631  	4.1206386e-11	3.4944419e-13
0.11847111  	4.1079650e-11	3.4834627e-13
0.11874591  	3.9923002e-11	3.4639972e-13
0.11902071  	4.0922075e-11	3.4673588e-13
0.11929551  	4.0453807e-11	3.4568054e-13
0.11957030  	3.9015229e-11	3.4277851e-13
0.11984510  	3.9753579e-11	3.4339345e-13
0.12011990  	3.9998511e-11	3.4373763e-13
0.12039470  	4.0392949e-11	3.4305610e-13
0.12066950  	3.9694584e-11	3.4119680e-13
0.12094430  	3.9009039e-11	3.3896901e-13
0.12121910  	3.8752612e-11	3.3840682e-13
0.12149390  	3.8708068e-11	3.3783997e-13
0.12176870  	3.7831155e-11	3.3459948e-13
0.12204350  	3.7796564e-11	3.3332091e-13
0.12231830  	3.7838056e-11	3.3403553e-13
0.12259309  	3.7925735e-11	3.3299974e-13
0.12286789  	3.7003574e-11	3.3187613e-13
0.12314269  	3.6814902e-11	3.3072273e-13
0.12341749  	3.6485950e-11	3.2979283e-13
0.12369229  	3.6699904e-11	3.2930272e-13
0.12396709  	3.5998652e-11	3.2766544e-13
0.12424189  	3.6465043e-11	3.2795064e-13
0.12451669  	3.5849455e-11	3.2628387e-13
0.12479149  	3.5495402e-11	3.2542279e-13
0.12506628  	3.5019713e-11	3.2402935e-13
0.12534109  	3.4543608e-11	3.2446580e-13
0.12561588  	3.4605967e-11	3.2476406e-13
0.12589069  	3.4896669e-11	3.2363532e-13
0.12616548  	3.3942744e-11	3.2180316e-13
0.12644029  	3.4530809e-11	3.2211918e-13
0.12671508  	3.3116794e-11	3.1859896e-13
